"category","autistic_persons_(%)","non-autistic_persons_(%)"
"Difficulty sitting","27","11"
"Communication difficulties","51","17"
"Learning difficulties","44","34"
"Intellectual difficulties","18","7"
"Fitting in socially","53","23"
"Sports participation","22","12"
"Other difficulties","62","44"
"Total with difficulties(a)","70","56"
"No difficulties","27","43"
"Total aged 5 to 20 years who are currently attending school or other education institution","100","100"
